,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령
1112,2013년 9월 6일 17시,금요일,서울특별시 송파구 신천동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,63세,상해없음,자전거,남,9세
1113,2013년 9월 6일 18시,금요일,서울특별시 송파구 송파동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,64세,상해없음,보행자,남,7세
1114,2013년 9월 7일 11시,토요일,서울특별시 노원구 월계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,58세,상해없음,보행자,남,8세
1115,2013년 9월 7일 12시,토요일,서울특별시 관악구 봉천동,경상사고,0,0,1,1,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,40세
1116,2013년 9월 7일 12시,토요일,서울특별시 송파구 잠실동,경상사고,0,0,8,0,차대차 - 추돌 - 주정차중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,34세
1117,2013년 9월 7일 16시,토요일,서울특별시 영등포구 신길동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,기타,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,9세
1118,2013년 9월 7일 17시,토요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,9세
1119,2013년 9월 7일 17시,토요일,서울특별시 중랑구 면목동,부상신고사고,0,0,0,1,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,6세,부상신고,승용,남,43세
1120,2013년 9월 8일 20시,일요일,서울특별시 송파구 삼전동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,남,5세
1121,2013년 9월 10일 15시,화요일,서울특별시 강북구 미아동,중상사고,0,1,1,0,차대차 - 측면직각충돌,신호위반,포장 - 습기,비,단일로 - 횡단보도부근,승용,여,43세,상해없음,이륜,남,66세
1122,2013년 9월 10일 15시,화요일,서울특별시 중랑구 중화동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 습기,비,단일로 - 기타,자전거,여,8세,경상,승용,남,56세
1123,2013년 9월 10일 17시,화요일,서울특별시 성동구 금호동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,46세,상해없음,보행자,여,4세
1124,2013년 9월 10일 17시,화요일,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,차대사람 - 횡단중,기타,포장 - 습기,비,교차로 - 교차로안,화물,남,37세,상해없음,보행자,남,9세
1125,2013년 9월 10일 18시,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,2,차대차 - 추돌 - 진행중,신호위반,포장 - 습기,비,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,45세
1126,2013년 9월 10일 18시,화요일,서울특별시 중랑구 신내동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,기타불명,89세,기타불명,보행자,남,11세
1127,2013년 9월 10일 18시,화요일,서울특별시 송파구 삼전동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 습기,비,단일로 - 기타,승용,여,29세,상해없음,보행자,남,12세
1128,2013년 9월 10일 21시,화요일,서울특별시 강남구 역삼동,중상사고,0,1,1,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,여,48세
1129,2013년 9월 11일 08시,수요일,서울특별시 서초구 반포동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 기타,비,단일로 - 기타,화물,남,51세,상해없음,승용,여,40세
1130,2013년 9월 11일 15시,수요일,서울특별시 구로구 개봉동,중상사고,0,1,2,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,여,28세
1131,2013년 9월 11일 21시,수요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 기타,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,여,9세
1132,2013년 9월 12일 15시,목요일,서울특별시 서대문구 북가좌동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,8세
1133,2013년 9월 12일 15시,목요일,서울특별시 강북구 미아동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,화물,남,47세,상해없음,보행자,여,11세
1134,2013년 9월 12일 17시,목요일,서울특별시 강동구 성내동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,여,7세
1135,2013년 9월 12일 20시,목요일,서울특별시 은평구 갈현동,경상사고,0,0,2,0,차대사람 - 길가장자리구역통행중,불법유턴,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,여,8세
